NACA 4 digit Additional DB20.txt
         c        Lc         t       Cl0      Cla0       Cd0       Cm0      Cma0
 ========= ========= ========= ========= ========= ========= ========= =========
   4.07185   6.97447  15.59306   0.65830   0.08630   0.00594  -0.17000   0.00640
   6.93967   8.10022   6.33242   1.08610  -0.01490   0.01191  -0.31460   0.02820
   5.02897   4.97363  13.25843   0.68300   0.11410   0.00563  -0.15710   0.00010
   3.02905   7.96770  14.50272   0.54680   0.10750   0.00603  -0.14780   0.00170
   6.99521   5.01862   3.08150   0.85050   0.10690   0.00908  -0.21100  -0.00020
   2.99396   2.91248   6.92662   0.33490   0.11270   0.00597  -0.06520  -0.00050
   7.98808   4.01771   4.00635   0.92010   0.11040   0.00668  -0.20780  -0.00040
   8.00144   2.97135   5.55189   0.86120   0.11450   0.00811  -0.17170  -0.00050
   4.12190   8.01522   8.89154   0.80280   0.03990   0.00462  -0.22000   0.01650
   8.76498   7.98318  16.17003   1.20440  -0.00430   0.01905  -0.34240   0.02500
   0.98595   6.90575  13.10535   0.16770   0.11370   0.00533  -0.04330   0.00030
   2.99003   8.01724  14.52078   0.54240   0.10840   0.00605  -0.14690   0.00150
   0.00000   4.54498  18.87276   0.00000   0.11520   0.00637  -0.00000   0.00030
   8.91419   4.96325   3.98023   1.11450   0.09580   0.00579  -0.27180   0.00220
   5.05700   8.01198   3.08440   0.83050   0.11160   0.01035  -0.24090  -0.00120
   2.03850   0.96088   9.02160   0.21070   0.11280   0.00745  -0.02600   0.00020
   7.87593   6.03904   7.47516   1.15500   0.11140   0.00453  -0.29550  -0.00010
   2.01076   6.97548   8.54308   0.34870   0.10480   0.00415  -0.09170   0.00160
   4.03840   4.84645   2.22112   0.49000   0.10770   0.00776  -0.12050  -0.00070
   4.04005   3.05211  15.71627   0.47270   0.11330   0.00732  -0.08530   0.00020
   0.84990   9.17950   7.97979   0.25800   0.10950   0.00458  -0.07060   0.00060
   3.92339   1.97536  16.90428   0.43200   0.10690   0.00839  -0.06080   0.00140
   0.00000   4.21429  10.99291   0.00000   0.11380   0.00493  -0.00000   0.00010
   3.91569   0.96331  19.74803   0.39250   0.11190   0.01094  -0.03300   0.00140
   4.02181   3.94130  10.72844   0.49530   0.11500   0.00588  -0.10560  -0.00030
   4.99544   8.01272   9.28139   0.99170  -0.05370   0.00401  -0.27090   0.03830
   4.93567   5.96484  14.81990   0.74840   0.11260   0.00517  -0.18260   0.00060
   4.02130   5.97119   5.91347   0.59250   0.09600   0.00406  -0.15140   0.00280
   1.01581   7.06763  14.55612   0.17540   0.11440   0.00562  -0.04530   0.00020
   4.93381   7.03984   9.21745   0.86430   0.06620   0.00384  -0.22810   0.01090
   8.12258   1.95082  16.07209   0.84780   0.11030   0.01033  -0.12090   0.00160
   4.87767   7.97856   9.62285   0.96220  -0.03550   0.00407  -0.26210   0.03400
   4.02044   6.90970   5.86502   0.67050   0.07570   0.00403  -0.17910   0.00700
   8.10725   2.88217  19.90879   0.85190   0.10950   0.00981  -0.13790   0.00120
   0.00000   4.74316  12.85913   0.00000   0.11460   0.00527  -0.00000   0.00010
   0.00000   5.32014   7.00220   0.00000   0.10910   0.00417  -0.00000   0.00040
   2.04480   8.09196   7.95853   0.42860   0.10030   0.00454  -0.11720   0.00250
   5.98711   6.02093   6.06063   0.88000   0.10610   0.00415  -0.22600   0.00110
   4.00508   2.98263  19.91092   0.46260   0.10950   0.00781  -0.07740   0.00110
   8.21456   1.90635  18.40833   0.83590   0.09870   0.01085  -0.11050   0.00400
   7.99059   3.20531   5.75144   0.87570   0.11510   0.00780  -0.17950  -0.00060
   1.00662   6.45267  17.99822   0.15770   0.11440   0.00620  -0.03910   0.00040
   9.17109   2.70202  17.68096   0.96110   0.10530   0.01011  -0.15620   0.00200
   7.89185   3.01330  10.01754   0.87710   0.11520   0.00804  -0.16830  -0.00020
   5.08544   4.89740  19.74429   0.66720   0.10410   0.00676  -0.14600   0.00250
   0.00000   4.56239  17.96480   0.00000   0.11530   0.00621  -0.00000   0.00020
   3.03298   5.80424   9.98347   0.45220   0.10940   0.00442  -0.11190   0.00100
   7.99309   5.98759  10.02693   1.17640   0.11320   0.00489  -0.29610  -0.00040
   5.20469   8.43844   8.06813   0.89480   0.05680   0.00963  -0.25750   0.01250
   2.05574   5.90045  19.90631   0.29900   0.11240   0.00655  -0.07100   0.00080
   3.76961   9.07409   6.02772   0.74600   0.13520   0.01019  -0.21820  -0.00530
   2.01645   2.86438  15.70630   0.23310   0.11540   0.00611  -0.04100   0.00010
