NACA 4 digit Answer DB20.txt
         c        Lc         t       Cl0      Cla0       Cd0       Cm0      Cma0
 ========= ========= ========= ========= ========= ========= ========= =========
   6.03592   8.92910  17.05695   0.80150   0.11270   0.01666  -0.23960   0.00020
   1.00775   7.93200   7.92019   0.21210   0.09820   0.00421  -0.05820   0.00420
   2.61461   7.75287   4.72563   0.49750   0.06470   0.00428  -0.13800   0.00960
   6.91985   4.00727  11.11162   0.81390   0.10780   0.00801  -0.17470   0.00060
   1.98520   1.90743  12.51254   0.20730   0.10440   0.00608  -0.03150   0.00220
   2.91879   3.04794  12.79943   0.32590   0.10240   0.00639  -0.06140   0.00260
   3.17426   6.02794   2.81869   0.43280   0.09790   0.00764  -0.11360   0.00020
   5.00443   4.91502  17.67485   0.64830   0.10590   0.00782  -0.14480   0.00140
   1.00686   4.30365   7.50758   0.11990   0.12790   0.00380  -0.02710  -0.00300
   2.12050   6.86480   9.54901   0.36300   0.10930   0.00480  -0.09550   0.00140
   1.06374   6.80821   6.08188   0.17830   0.10070   0.00376  -0.04760   0.00310
   0.93175   4.37426  11.57241   0.11730   0.10650   0.00537  -0.02620   0.00170
   0.00000   5.15143   3.95729  -0.00220   0.11300   0.00468   0.00040  -0.00160
   1.98693   5.01520  14.05774   0.26870   0.10880   0.00627  -0.06200   0.00100
   3.95325   4.99264  11.21957   0.52590   0.11030   0.00602  -0.12340   0.00040
   5.00500   1.94711  12.58728   0.51870   0.10950   0.01018  -0.07920   0.00070
   6.45418   7.10640   6.41840   1.06020   0.09850   0.00705  -0.28870   0.00390
   2.91667   6.03616  17.45577   0.43340   0.09930   0.00683  -0.10520   0.00310
   2.89399   6.02970  17.48930   0.43060   0.10000   0.00685  -0.10440   0.00290
   0.92753   7.33672   6.65895   0.17690   0.08600   0.00399  -0.04810   0.00710
   0.00000   3.26019   6.97285   0.00080   0.10270   0.00359  -0.00020   0.00310
   5.00909   4.96634   8.93214   0.65410   0.11010   0.00587  -0.15540   0.00000
   0.97556   7.39595  11.85758   0.18030   0.10560   0.00531  -0.04750   0.00180
   9.01599   3.94109  18.81600   0.95080   0.10160   0.01141  -0.18900   0.00160
   0.96962   1.01584  16.00863   0.09870   0.10940   0.00676  -0.00990   0.00100
   7.99213   5.91901  10.83194   1.14480   0.11130   0.00703  -0.28730  -0.00040
