NACA 4 digit Error DB20.txt
         c        Lc         t       Cl0      Cla0       Cd0       Cm0      Cma0
 ========= ========= ========= ========= ========= ========= ========= =========
   0.00523   0.00428   0.04873   0.00130   0.00000   0.00006   0.00040   0.00000
   0.00607   0.01537   0.18245   0.00170   0.00080   0.00000   0.00040   0.00010
   0.03194   0.06400   0.02939   0.00090   0.00000   0.00009   0.00060   0.00010
   0.00158   0.00798   0.05331   0.00010   0.00000   0.00001   0.00010   0.00010
   0.01641   0.03132   0.06393   0.00160   0.00160   0.00002   0.00040   0.00040
   0.00816   0.00483   0.01606   0.00090   0.00040   0.00002   0.00030   0.00010
   0.03390   0.43698   0.54326   0.00120   0.01050   0.00234   0.00350   0.00120
   0.00515   0.00223   0.01590   0.00070   0.00020   0.00000   0.00010   0.00010
   0.01902   0.00367   0.01288   0.00160   0.00340   0.00001   0.00040   0.00080
   0.00998   0.00271   0.03347   0.00020   0.00030   0.00001   0.00010   0.00020
   0.01780   0.02199   0.02203   0.00580   0.00270   0.00003   0.00160   0.00080
   0.01062   0.01485   0.00220   0.00150   0.00030   0.00001   0.00030   0.00010
   0.00000   0.34268   0.41864   0.00080   0.00890   0.00071   0.00020   0.00220
   0.00038   0.00239   0.06762   0.00040   0.00050   0.00000   0.00010   0.00010
   0.02029   0.01186   0.01282   0.00170   0.00010   0.00002   0.00030   0.00000
   0.02371   0.01405   0.21025   0.00090   0.00000   0.00001   0.00010   0.00000
   0.02756   0.02315   0.08363   0.00080   0.00120   0.00007   0.00020   0.00020
   0.00661   0.01077   0.00703   0.00010   0.00080   0.00000   0.00000   0.00020
   0.00171   0.00560   0.00454   0.00040   0.00030   0.00000   0.00000   0.00000
   0.00597   0.00854   0.21422   0.00180   0.00270   0.00002   0.00050   0.00070
   0.00000   0.82760   0.03268   0.00020   0.00020   0.00003   0.00010   0.00000
   0.01686   0.01578   0.02587   0.00070   0.00000   0.00002   0.00030   0.00010
   0.00273   0.00280   0.14889   0.00020   0.00060   0.00000   0.00000   0.00010
   0.00947   0.02011   0.04695   0.00040   0.00160   0.00003   0.00040   0.00030
   0.01694   0.04769   0.01557   0.00070   0.00020   0.00002   0.00010   0.00010
   0.00950   0.00677   0.06084   0.00140   0.00040   0.00001   0.00060   0.00010
   0.01343   0.00876   0.00951   0.00150   0.00020   0.00000   0.00030   0.00000
   0.00856   0.00094   0.07877   0.00160   0.00010   0.00001   0.00030   0.00010
   0.01525   0.01736   0.29018   0.00050   0.00010   0.00002   0.00010   0.00000
   0.00048   0.00681   0.03487   0.00150   0.00150   0.00001   0.00040   0.00040
   0.00185   0.00372   0.04365   0.00090   0.00110   0.00000   0.00030   0.00030
   0.01821   0.03013   0.20160   0.01300   0.00880   0.00090   0.00180   0.00140
   0.00129   0.01561   0.03740   0.00010   0.00020   0.00002   0.00000   0.00000
   0.00000   0.04284   0.01389   0.00020   0.00010   0.00001   0.00000   0.00000
   0.00060   0.00207   0.04703   0.00020   0.00420   0.00007   0.00010   0.00050
   0.01473   0.02346   0.01365   0.00040   0.00050   0.00002   0.00050   0.00010
   0.00628   0.00001   0.02439   0.00010   0.00000   0.00000   0.00010   0.00010
   0.00289   0.02954   0.25949   0.00020   0.00610   0.00007   0.00020   0.00110
   0.00000   0.01331   0.00700   0.00030   0.00040   0.00000   0.00000   0.00010
   0.00000   0.33548   0.04067   0.00070   0.00080   0.00002   0.00020   0.00020
   0.01838   0.00948   0.03480   0.00180   0.00020   0.00003   0.00040   0.00010
   0.07595   0.39338   7.66221   0.12820   0.12160   0.00262   0.03100   0.02500
   0.00400   0.00693   0.00558   0.00090   0.00060   0.00000   0.00010   0.00010
   0.01026   0.04560   0.04867   0.00350   0.00020   0.00017   0.00140   0.00000
   0.01712   0.01993   0.00672   0.00060   0.00040   0.00001   0.00010   0.00010
   0.01178   0.04950   0.21025   0.00110   0.00310   0.00007   0.00020   0.00050
   0.00469   0.00865   0.14307   0.00050   0.00070   0.00009   0.00040   0.00020
   0.00544   0.01606   0.04805   0.00160   0.00060   0.00003   0.00090   0.00020
   0.04263   0.02596   0.07563   0.00160   0.00110   0.00015   0.00100   0.00020
   0.00204   0.00046   0.08454   0.00010   0.00040   0.00002   0.00010   0.00010
   0.14893   0.09870   0.25192   0.01370   0.00950   0.00194   0.00480   0.00160
   0.00066   0.00340   0.02766   0.00100   0.00030   0.00000   0.00030   0.00000
   0.02866   0.01707   0.11805   0.00040   0.00010   0.00002   0.00010   0.00000
   0.02131   0.00729   0.06155   0.00080   0.00080   0.00013   0.00060   0.00010
   0.01201   0.00276   0.01991   0.00170   0.00010   0.00001   0.00040   0.00010
   0.00802   0.00299   0.12226   0.00070   0.00010   0.00002   0.00010   0.00000
   0.00000   0.03479   0.02823   0.00010   0.00050   0.00018   0.00000   0.00020
   0.00697   0.02852   0.25437   0.00240   0.00010   0.00015   0.00030   0.00010
   0.00190   0.00015   0.02267   0.00060   0.00020   0.00000   0.00010   0.00000
   0.01238   0.00881   0.00660   0.00000   0.00060   0.00003   0.00020   0.00010
   0.00000   0.00035   0.00089   0.00010   0.00010   0.00001   0.00000   0.00000
   0.00834   0.01302   0.14024   0.00040   0.00040   0.00001   0.00010   0.00010
   0.02777   0.03646   0.36903   0.00060   0.00020   0.00001   0.00020   0.00000
   0.02019   0.00489   0.02390   0.00260   0.00030   0.00000   0.00060   0.00000
   0.01782   0.01902   0.00578   0.00070   0.00150   0.00000   0.00050   0.00030
   0.02195   0.05866   0.26121   0.00630   0.00610   0.00071   0.00100   0.00050
   0.01123   0.01750   0.00842   0.00100   0.00090   0.00001   0.00000   0.00020
   0.01264   0.00287   0.13484   0.00060   0.00000   0.00003   0.00010   0.00000
   0.03372   0.08427   0.87021   0.01340   0.01060   0.00103   0.00230   0.00170
   0.00000   0.02840   0.00608   0.00000   0.00010   0.00001   0.00000   0.00000
   0.02043   0.01626   0.07426   0.00130   0.00020   0.00002   0.00010   0.00000
   0.00728   0.00770   0.02421   0.00060   0.00120   0.00000   0.00020   0.00030
   0.00431   0.02101   0.00064   0.00100   0.06240   0.00055   0.00050   0.01290
   0.00380   0.01171   0.03921   0.00050   0.00010   0.00001   0.00020   0.00000
   0.00000   0.01304   0.01048   0.00000   0.00020   0.00000   0.00000   0.00000
   0.00149   0.00623   0.02974   0.00080   0.00020   0.00001   0.00020   0.00010
   0.00979   0.02123   0.04538   0.00050   0.00050   0.00001   0.00020   0.00010
   0.00734   0.08389   0.34710   0.00140   0.01480   0.00151   0.00020   0.00220
   0.00976   0.00120   0.03009   0.00020   0.00140   0.00003   0.00020   0.00040
   0.01234   0.00241   0.08686   0.00190   0.00060   0.00001   0.00060   0.00000
   0.02295   0.02770   0.08945   0.00180   0.00150   0.00005   0.00020   0.00030
   0.01640   0.02170   0.02178   0.00100   0.00030   0.00001   0.00000   0.00010
   0.00573   0.00546   0.05782   0.00110   0.00020   0.00001   0.00020   0.00010
   0.01388   0.02901   0.09001   0.00010   0.00210   0.00005   0.00000   0.00020
   0.00332   0.01332   0.33551   0.00070   0.00050   0.00010   0.00010   0.00020
   0.00000   0.02699   0.02681   0.00020   0.00070   0.00002   0.00010   0.00020
   0.00000   0.00373   0.07311   0.00220   0.00120   0.00000   0.00060   0.00050
   0.00291   0.00852   0.02641   0.00000   0.00020   0.00005   0.00010   0.00000
   0.01730   0.01692   0.12207   0.00360   0.00390   0.00036   0.00030   0.00090
   0.00623   0.01518   0.03256   0.00060   0.00000   0.00003   0.00030   0.00010
   0.00000   0.03375   0.07305   0.00040   0.00040   0.00002   0.00000   0.00000
   0.00725   0.02810   0.03589   0.00040   0.00050   0.00002   0.00010   0.00010
   0.00652   0.02284   0.06210   0.00100   0.00110   0.00000   0.00020   0.00020
   0.02366   0.02409   0.09958   0.00090   0.00030   0.00001   0.00010   0.00000
   0.00797   0.00102   0.09020   0.00080   0.00080   0.00000   0.00030   0.00020
   0.00680   0.00706   0.03798   0.00000   0.00030   0.00002   0.00010   0.00000
   0.00000   0.01339   0.01941   0.00000   0.00020   0.00002   0.00000   0.00000
   0.00871   0.03441   0.02288   0.00160   0.00230   0.00001   0.00050   0.00060
   0.02377   0.00086   0.09758   0.00220   0.00080   0.00001   0.00070   0.00010
   0.02517   0.02799   0.02590   0.00680   0.00370   0.00002   0.00210   0.00120
   0.00976   0.01920   0.10826   0.00040   0.00000   0.00002   0.00030   0.00000
   0.00438   0.02071   0.09432   0.00000   0.00030   0.00001   0.00030   0.00010
   0.01561   0.06397   0.00127   0.00040   0.00010   0.00000   0.00010   0.00000
   0.01841   0.00626   0.11111   0.00190   0.00010   0.00000   0.00060   0.00000
   0.00045   0.00404   0.04645   0.00040   0.00000   0.00001   0.00010   0.00000
   0.01061   0.00187   0.16573   0.00040   0.00030   0.00005   0.00030   0.00000
   0.00334   0.00811   0.04821   0.00020   0.00010   0.00002   0.00030   0.00000
   0.00733   0.08449   0.08953   0.00690   0.00650   0.00054   0.00050   0.00140
   0.00132   0.00441   0.05477   0.00230   0.00060   0.00003   0.00040   0.00010
   0.00693   0.01900   0.03705   0.00570   0.00600   0.00016   0.00190   0.00170
   0.00541   0.01245   0.02289   0.00040   0.00030   0.00001   0.00000   0.00000
   0.00709   0.01916   0.07340   0.00060   0.00000   0.00001   0.00030   0.00010
   0.01651   0.00149   0.08940   0.00550   0.00330   0.00025   0.00120   0.00070
   0.00430   0.01503   0.00479   0.00560   0.00600   0.00002   0.00150   0.00120
   0.01882   0.00877   0.12108   0.00160   0.00030   0.00001   0.00040   0.00000
   0.00348   0.04151   0.03188   0.00030   0.00010   0.00000   0.00000   0.00000
   0.03978   0.02798   0.39378   0.00940   0.00020   0.00011   0.00230   0.00010
   0.00505   0.00713   0.06529   0.00010   0.00030   0.00000   0.00010   0.00010
   0.01417   0.00145   0.07762   0.00150   0.00000   0.00001   0.00040   0.00000
   0.00000   0.02996   0.02178   0.00000   0.00020   0.00001   0.00000   0.00000
   0.00023   0.00058   0.10698   0.00090   0.00050   0.00002   0.00010   0.00020
   0.01097   0.01116   0.01451   0.00050   0.00520   0.00002   0.00010   0.00130
   0.00166   0.00004   0.03168   0.00000   0.00020   0.00001   0.00000   0.00000
   0.00679   0.01250   0.04003   0.00140   0.00000   0.00002   0.00030   0.00000
   0.01476   0.02150   0.03930   0.00280   0.00160   0.00000   0.00120   0.00030
   0.00058   0.02153   0.04169   0.00210   0.00010   0.00001   0.00090   0.00000
   0.03983   0.04963   0.27178   0.00590   0.08080   0.00022   0.00230   0.01920
   0.01839   0.00295   0.01891   0.00190   0.00020   0.00000   0.00030   0.00000
   0.00149   0.01304   0.05069   0.00050   0.00020   0.00000   0.00010   0.00010
