Test Result DB
         c        Lc         t
 ========= ========= =========
   6.04115   8.92482  17.00822
   1.00168   7.91663   7.73774
   2.58267   7.81687   4.69624
   6.92143   4.01525  11.05831
   2.00161   1.93875  12.57647
   2.92695   3.05277  12.78337
   3.20816   5.59096   3.36195
   4.99928   4.91279  17.65895
   1.02588   4.29998   7.52046
   2.11052   6.86751   9.51554
   1.04594   6.78622   6.05985
   0.94237   4.38911  11.57461
   0.00000   4.80875   4.37593
   4.00343   3.01905  19.33735
   1.98655   5.01281  13.99012
   3.93296   5.00450  11.23239
   5.02871   1.93306  12.37703
   6.42662   7.12955   6.50203
   2.91006   6.04693  17.46280
   2.89570   6.03530  17.49384
   0.92156   7.32818   6.87317
   0.00000   4.08779   7.00553
   4.99223   4.98212   8.95801
   0.97283   7.39875  12.00647
   9.00652   3.96120  18.86295
   0.98656   1.06353  15.99306
   8.00163   5.92578  10.77110
   1.99718   2.07986  14.80229
   5.96672   5.98908  14.43811
   6.06910   3.12348   6.60387
   3.07485   7.59727  16.99331
   6.98806   5.98633  15.86933
   4.03339   1.05480  16.32876
   0.95501   7.46962  14.82222
   0.00000   4.58870  19.94139
   3.07845   7.00454   4.43917
   7.01293   4.99999  15.80773
   1.01851   1.45360  20.11747
   8.84553   2.16631  15.78753
   0.00000   5.42274  15.04569
   0.00000   4.68826   8.98920
   2.96860   5.06704   9.96005
   3.43024   0.50702  15.30968
   3.19304   8.96764  11.73238
   0.97085   1.10107  19.13559
   5.99206   2.24939   9.40140
   5.96346   5.97961  19.67073
   3.16418   7.76564   6.12909
   2.92633   1.99742  11.04008
   9.02965   4.98274  15.84239
   4.14506   9.17781  15.49153
   4.98727   3.00697  16.11182
   0.98955   7.54201   3.97428
   2.00221   1.99205  18.82737
   8.01409   4.02977  14.17942
   8.10725   2.00542  14.64879
   2.95692   9.07040  18.45338
   7.01456   2.92348   6.83156
   0.00000   4.71254   4.04679
   8.86046   1.99527  17.79712
   6.18599   3.12596  19.69554
   6.98023   4.00202  14.93440
   6.34108   1.05910  16.90005
   0.00000   4.33390  17.96895
   2.94126   1.96801  15.78279
   4.96518   7.04561   9.04470
   2.95224   5.99417  15.00151
   9.03256   5.98142   7.95585
   2.34519   4.63375   3.06517
   5.92472   6.00782  19.67260
   6.91507   2.95981   9.04132
   4.08869   1.05385  16.10736
   0.00000   4.80860  15.95749
   4.95182   3.02625  12.27882
   1.02996   3.90016   7.06386
   6.45830   7.16227   4.91214
   1.08563   5.98266  18.10861
   0.00000   4.82160  13.00160
   0.91917   2.72889  18.96597
   2.92286   5.16052  10.26271
   1.22295   1.64719   4.31683
   5.99545   7.95293  20.00339
   6.30767   2.88680  19.75123
   6.03107   6.94276   8.46503
   4.98777   7.05380  10.93662
   1.05890   8.88633  16.42660
   3.10596   7.04843   4.37385
   3.03155   1.05431  18.26998
   0.00000   4.74431   9.06495
   0.00000   4.07150   5.17368
   3.09567   4.03409  12.46557
   5.01730   8.01692   7.87793
   4.01602   4.99723  13.97558
   0.00000   4.73090  16.07408
   0.96479   0.90795  12.69835
   1.94800   6.94907  12.33183
   5.03091   2.97578   6.05010
   3.03761   2.91624   5.41895
   8.97027   4.08961  19.98159
   0.00000   4.51023  11.76715
   2.02226   7.00812  10.94192
   9.01956   2.99566  13.26237
   5.31782   7.23772   2.65866
   7.92885   4.01610  10.29210
   1.96576   4.22065  11.74328
   7.93148   3.04629  15.12922
   0.96444   7.17849  12.09949
   6.02226   3.03648   7.13225
   8.96301   2.96175  10.82488
   5.91189   2.04282  17.83493
   5.94972   1.97344  11.78224
   4.18616   8.19435  14.48091
   6.95817   1.98447  17.39415
   5.81813   7.26297   4.21326
   2.85989   5.06775   9.90408
   6.90785   3.99901  10.91170
   3.00095   4.63559   2.58022
   6.29216   7.36578   5.68478
   8.00430   6.02554  19.73372
   3.00429   2.88040   6.19045
   0.95408   5.10307  11.82760
   3.69176   6.07975   2.93216
   1.99777   1.93551  12.10169
   5.08236   2.97091  11.46029
   0.00000   4.57019  19.10526
   3.01277   1.96817  16.22120
   5.03364   5.81455   5.24918
   0.97952   4.92868   9.15184
   0.96199   3.15643  11.84921
   7.76642   5.92236  15.16434
   8.94023   5.05595  18.78508
   4.95345   7.36549   2.50639
   8.95764   4.05803   6.09953
   1.02444   4.95618  18.12925
   2.09534   7.30840  19.65116
   2.95037   7.13092  14.72122
   3.95829   5.95512   5.45883
   1.92823   3.02890   5.15883
   3.02475   2.08211  12.88974
   0.97962   3.85879  15.08497
   0.00000   4.58924  19.99979
   0.00000   4.19110   8.02785
   4.09741   6.91288  14.98831
   2.88436   7.96813  19.81944
   1.92673   5.14694  19.14379
   3.01495   4.11498  12.01588
   9.05311   3.99088  10.96467
   5.01153   2.95172  19.48738
   4.99796   3.07938  15.33549
   5.94396   3.88775   9.92081
   2.04895   6.89560  13.90351
   3.02458   7.97118   5.99377
   2.98017   8.21307   9.41775
   0.00000   5.01981   9.99892
   4.08076   2.08567  14.20527
   3.00813   8.85338  17.93018
   3.95349   0.97955  18.83087
   2.29822   8.05556   2.05393
   3.97092   1.06804  15.58221
   8.40725   6.90989   3.37185
   1.01217   0.98808  13.05894
   1.08977   4.10835   6.74728
   7.01121   7.13172   4.29316
   1.92584   5.06594  13.98038
   4.08258   6.01844  12.03815
   3.95473   6.01929  11.95293
   5.97296   7.99540  13.88508
   1.01340   7.81411   7.20472
   6.05717   7.03620   6.01725
   6.53299   9.01890  18.16320
   0.98656   1.92360  20.04866
   2.92054   4.06392  14.81105
   1.00775   8.11939   7.68174
   9.08035   2.90831  13.62887
   8.33367   6.94401   2.58319
   0.00000   4.06875   4.97636
   3.48288   1.17793  11.01625
   2.95539   2.96935  11.18245
   0.00000   4.57688  20.00674
   2.04865   2.00592  10.81406
   3.89399   7.11554  19.45998
   2.78273   3.95202   7.12144
   3.00229   6.07742  10.88284
   1.95925   3.97535  17.95852
   7.00183   2.01187  12.15391
   7.07809   3.10690   7.50537
   4.95307   4.03276  14.86176
   0.00000   4.46723  11.91629
   0.00000   4.98104  10.09240
   0.00000   4.50037  12.03374
   3.06250   1.05566  18.54831
   0.82489   1.24710  19.09364
   4.81382   6.98358   5.84619
   0.90096   7.67035  14.65960
   1.97956   1.99076  17.87400
   0.00000   4.74369  11.04565
   7.91136   4.03238   8.71193
   9.00164   5.97594  17.92359
   8.29551   7.96217  17.93071
   2.02190   5.91958  18.12654
   4.12915   2.10379  14.11983
   8.01752   6.00289   8.71690
   8.06067   6.01673  19.80772
   8.95430   4.95527  13.15477
   8.00428   5.00353  15.17272
   0.95394   6.02329  14.85297
   5.88586   6.83121  20.02119
   4.90962   4.94353   5.93892
   7.98897   3.00091  13.14264
   4.90756   6.00073   2.56425
   9.30086   8.50641  12.86839
   4.98986   7.00966   5.94560
   2.95035   4.05162   7.27443
   8.16158   2.06208  14.83421
   0.00000   4.74990  11.00536
   5.82680   7.24648   4.11556
   7.07520   6.10500  16.87546
   6.83818   4.00846  11.06365
   4.11402   3.98418   8.74631
   6.86424   4.00633   4.65954
   9.04150   4.95220  15.68186
   0.92795   3.87087   7.87500
   8.18827   6.08866   3.57905
   3.07767   2.89323   5.58642
   6.01530   5.02483  14.92050
   8.97107   4.95136   7.27150
   3.88775   3.06020  17.16506
   0.00000   4.18325   7.93763
   4.93097   5.97276   9.56125
   8.99873   2.98997  15.31252
   7.96589   5.99260  11.01901
   1.13845   3.20422   6.03419
   5.24355   7.29860   2.61151
   5.95405   5.02093   6.08042
   8.87893   6.17373   5.23769
   6.04362   7.07358   6.20296
   7.81080   5.98744  14.10123
   8.98839   3.98742  13.96600
   2.19841   7.83663  14.22491
   3.07225   3.98873  19.25439
   8.99199   3.78375  15.61439
   3.90396   9.42004  10.41858
   1.67422   7.68385   0.93511
   4.01448   7.58669  13.36149
   5.74838   7.26190   4.23137
   5.87733   6.90062  14.43070
   3.96647   5.00930  19.42377
   1.03400   3.81650   7.03154
   1.03678   1.69707  16.51930
   2.07078   1.13993  12.36707
   1.06579   8.89688  17.70550
   0.00000   4.17972   5.19999
   8.99654   4.98753  14.02454
   0.95902   3.78512  14.98058
   3.93501   1.07991  15.05524
   2.04379   0.95388  12.94305
   0.00000   5.01806   9.98996
   4.98190   5.05025  17.17207
   1.00331   8.08296   7.95221
   2.68591   4.11933   4.96126
   0.97878   8.16305   8.05865
   5.01059   5.01269  17.17348
   3.75997   6.86887   4.64152
   0.64842   6.33033   2.31103
   5.03105   3.97368   5.59609
   1.93294   9.10205  18.94823
   8.02998   5.00857  13.00591
   4.94805   5.03995  17.08053
   4.30557   1.75888  19.58634
   5.14592   7.90689  12.60497
   5.02620   5.02865   8.87685
   5.97231   1.03016   8.34761
   1.05598   8.82204  14.09018
   4.98184   8.01419  19.93395
   3.85895   6.87561   8.78690
